"id","user_location","user_city","user_country","user_state"
1346714375500005376,"KNOKKE,A SPOT IN THIS UNIVERSE","IVER","UNITED KINGDOM",NA
1346707016614600704,"AFRICA","ICA","PERU",NA
1349120601521324032,"BRITAIN","ITAI","BRAZIL",NA
1347091162394451968,"ROMA, LAZIO","ROMA","UNITED STATES",NA
1347572115839528960,"WORLDWIDE","IDE","JAPAN",NA
1347537925026820096,"CORK, IRELAND","CORK","IRELAND",NA
1347519759613636608,"WORLDWIDE","IDE","JAPAN",NA
1347486737451380736,"COVEN OF AUGURY","COVE","UNITED KINGDOM",NA
1347471866215231488,"NAPOLI, CAMPANIA","CAM","UNITED KINGDOM",NA
1347336010888335360,"MICROCOMPASS@OUTLOOK.COM","AS","CZECHIA",NA
1347334152702615552,"MICROCOMPASS@OUTLOOK.COM","AS","CZECHIA",NA
1347331849513816064,"HERE. TWEETS MY OWN.","WE","NEW CALEDONIA",NA
1347323055417290752,"TUKHOLMA, RUOTSI","HO","GHANA",NA
1348003507400396800,"RENO, NV","RENO","UNITED STATES",NA
1347959132037509120,"KENT, UK","KENT","UNITED STATES",NA
1347923771831824384,"ALTAIR IV","ALTA","NORWAY",NA
1347915891846082560,"CORK, IRELAND","CORK","IRELAND",NA
1347885806787162112,"CORK, IRELAND","CORK","IRELAND",NA
1347879796571779072,"CORK, IRELAND","CORK","IRELAND",NA
1347877885357350912,"AJMAN, UAE","MAN","CÔTE D’IVOIRE",NA
1347867219963879424,"CORK, IRELAND","CORK","IRELAND",NA
1347850930549612544,"CORK, IRELAND","CORK","IRELAND",NA
1347824615301779456,"UNDER A TRAIN","RAIN","GERMANY",NA
1347824127802015744,"UNDER A TRAIN","RAIN","GERMANY",NA
1347638023895322624,"CORK, IRELAND","CORK","IRELAND",NA
1347631399277359104,"CALABRIA, IT","BRIA","CENTRAL AFRICAN REPUBLIC",NA
1350736747253129216,"WORLD WIDE 🌍","IDE","JAPAN",NA
1348268910408306688,"CORK, IRELAND","CORK","IRELAND",NA
1.348257974373e+18,"SOMEWHERE OVER THE RAINBOW","RAIN","GERMANY",NA
1348244303185932288,"#AUTHOR #COMEDY  #ZOMBIE","OME","JAPAN",NA
1348212495685726208,"NORTH TYNESIDE","SID","SERBIA",NA
1348022703635230720,"CORK, IRELAND","CORK","IRELAND",NA
1348012354626326528,"MIDWEST","WE","NEW CALEDONIA",NA
1350784215282036736,"WORLD WIDE 🌍","IDE","JAPAN",NA
1348864079516073984,"BURGERSFORT & TEMBISA","BURG","GERMANY",NA
1348426543677243392,"THE ROSE GARDEN","GAR","CHINA",NA
1348361861528481792,"CORK, IRELAND","CORK","IRELAND",NA
1348949927901192192,"CORLEONE, SICILIA","LEON","NICARAGUA",NA
1348887929045864448,"THROUGHOUT UK","HO","GHANA",NA
1348876668224593920,"KHYBER PAKHTUNKHWA","WA","GHANA",NA
1348876355807694848,"CPT SA DEFENDING THE UNDERDOG☑","ERD","HUNGARY",NA
1348703010181046272,"CPT SA DEFENDING THE UNDERDOG☑","ERD","HUNGARY",NA
1348570265903628288,"PÉCS, HUNGARY","PECS","HUNGARY",NA
1348569148247388160,"CORK, IRELAND","CORK","IRELAND",NA
1.351680791668e+18,"WALES","ALES","FRANCE",NA
1349093901500559360,"IN A GOOD PLACE","LAC","ALBANIA",NA
1349089531107147776,"ALLOSIMANIUS SYNECA","MAN","CÔTE D’IVOIRE",NA
1349079976495243264,"KENT","KENT","UNITED STATES",NA
1349049214492422144,"A STATE OF DEPRESSION","SION","SWITZERLAND",NA
1352039806017167360,"BRYN MAWR, PA","BRYN","UNITED KINGDOM",NA
1352008219447734272,"OSLO, NORWAY","OSLO","NORWAY",NA
1351973260636905472,"MARYLEBONE","MARY","TURKMENISTAN",NA
1351860604512956416,"WALES","ALES","FRANCE",NA
1351859437095571456,"BATH: UK","BATH","UNITED KINGDOM",NA
1351610696216276992,"NORTH WALES","ALES","FRANCE",NA
1351601307463929856,"PENMYNYDD, ISLE OF ANGLESEY","OF","TURKEY",NA
1351554821241901056,"IN ANY PLACE OF THE BIG WEB","LAC","ALBANIA",NA
1351483966684098560,"BIRTHPLACE OF THE NFL","LAC","ALBANIA",NA
1351363413243523072,"A BORDERING BASKET BOBCAT","ERIN","CANADA",NA
1351292536195837952,"FAR FROM HOME","OME","JAPAN",NA
1351281554593619968,"A BORDERING BASKET BOBCAT","ERIN","CANADA",NA
1351189037239959552,"EKO 'ILE OGBON'","BO","SIERRA LEONE",NA
1350874147589537792,"I AM NOT SUPPOSED TO TELL YOU","PO","BURKINA FASO",NA
1350850634463944704,"BHARAT ಕರುನಾಡು KARNATAKA","NATA","BOTSWANA",NA
1350772172273430528,"NICE, FRANCE","NICE","FRANCE",NA
1350757430007836672,"ALTAIR IV","ALTA","NORWAY",NA
1350491592973553664,"YORK","YORK","UNITED STATES",NA
1350479085730992128,"ABRUZZO, ITALIA","ITA","PARAGUAY",NA
1350460865418584064,"STARBUCKS/TARGET/HOSPITAL","PITA","GUINEA",NA
1350384193461575680,"MAKATI CBD 1226","KATI","MALI",NA
1350128318067183616,"CORK, IRELAND","CORK","IRELAND",NA
1350089983441428480,"BALLOCH, LOCH LOMOND, SCOTLAND","LOM","BULGARIA",NA
1350070414974873600,"KENT","KENT","UNITED STATES",NA
1350067819174629376,"CITIZEN OF THE STATE","OF","TURKEY",NA
1350057779252387840,"CORK","CORK","IRELAND",NA
1350007908940054528,"CRYNANT","NAN","THAILAND",NA
1349874491518836736,"FUCK OFF SKID","OF","TURKEY",NA
1349858357813927936,"WALES","ALES","FRANCE",NA
1349821028344725504,"TONYPANDY, WALES","ALES","FRANCE",NA
1349749012908404736,"PINNED TWEET","WE","NEW CALEDONIA",NA
1349713468920897536,"A STATE OF DEPRESSION","SION","SWITZERLAND",NA
1349629451529760768,"BLACK HOLE","LAC","ALBANIA",NA
1349487841009659904,"WORLDWIDE","IDE","JAPAN",NA
1349410007612325888,"DOWN THE RABBIT HOLE.","HO","GHANA",NA
1349330344076595200,"MILKY WAY","WA","GHANA",NA
1349329458726055936,"LAND OF CONFUSION.","SION","SWITZERLAND",NA
1349300049268920320,"ROMA","ROMA","UNITED STATES",NA
1349299450414587904,"WARSZAWA, POLSKA","WA","GHANA",NA
1349271475031846912,"STEVENAGE, EAST","ENA","JAPAN",NA
